text,label
Stock market gained points today,business
Company announced quarterly profits,business
New startup received investor funding,business
Economic growth increased this year,business
Business merger approved by board,business
Inflation affects global economy,business
Bank reduced interest rates,business
Share prices rose sharply,business
Corporate earnings exceeded expectations,business
Trade policies impact businesses,business

Football team won the league,sports
Cricket match was thrilling,sports
Player scored century,sports
Coach announced final squad,sports
Tournament begins next week,sports
Team practiced hard before match,sports
Championship final was intense,sports
Athlete broke world record,sports
Stadium was full of fans,sports
Sports event postponed due to rain,sports

New smartphone launched today,technology
AI is transforming industries,technology
Cybersecurity threats increased,technology
Software update improves performance,technology
Cloud computing adoption rising,technology
Machine learning used in healthcare,technology
New programming language released,technology
Tech company announced innovation,technology
Robotics used in manufacturing,technology
Data science demand is increasing,technology

Movie released worldwide,entertainment
Actor won film award,entertainment
Music concert attracted fans,entertainment
New web series launched,entertainment
Director announced upcoming film,entertainment
Box office collection increased,entertainment
Audience loved the movie,entertainment
Film festival started today,entertainment
Singer released new album,entertainment
Trailer crossed million views,entertainment
